STATE,STATENAME,ST_CASE,VEH_NO,MOD_YEAR,MOD_YEARNAME,VPICBODYCLASSNAME,MAKENAME,BODY_TYP,BODY_TYPNAME,ROLLOVER,ROLLOVERNAME,FIRE_EXP,FIRE_EXPNAME,DEATHS,DR_DRINK,DR_DRINKNAME,SPEEDREL,SPEEDRELNAME,VSPD_LIM,VSPD_LIMNAME,VSURCOND,VSURCONDNAME
1,Alabama,10039,1,1998,1998,Sedan/Saloon,Honda,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,3,"Yes, Exceeded Speed Limit",55,55 MPH,1,Dry
1,Alabama,10039,2,2015,2015,Sedan/Saloon,Honda,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10039,3,2001,2001,Truck-Tractor,International Harvester/Navistar,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10040,1,2024,2024,Sedan/Saloon,Toyota,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,0,0,No,0,No,25,25 MPH,2,Wet
1,Alabama,10040,2,2007,2007,Motorcycle - Dual Sport / Adventure / Supermoto / On/Off-road,Suzuki,80,Two Wheel Motorcycle (excluding motor scooters),8,Not Applicable,0,No or Not Reported,1,0,No,0,No,45,45 MPH,2,Wet
1,Alabama,10041,1,2007,2007,Sedan/Saloon,Toyota,4,"4-door sedan, hardtop",0,No Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10041,2,2023,2023,Hatchback/Liftback/Notchback,Honda,5,5-door/4-door hatchback,0,No Rollover,0,No or Not Reported,0,0,No,0,No,55,55 MPH,1,Dry
1,Alabama,10042,1,2005,2005,Sedan/Saloon,Chevrolet,4,"4-door sedan, hardtop",3,Rollover,0,No or Not Reported,1,0,No,3,"Yes, Exceeded Speed Limit",55,55 MPH,1,Dry
1,Alabama,10043,1,2014,2014,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),GMC,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",3,Rollover,0,No or Not Reported,1,1,Yes,0,No,35,35 MPH,1,Dry
1,Alabama,10044,1,2007,2007,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),Hyundai,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",0,No Rollover,0,No or Not Reported,1,1,Yes,0,No,45,45 MPH,1,Dry
1,Alabama,10045,1,2016,2016,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),KIA,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",3,Rollover,0,No or Not Reported,1,0,No,0,No,55,55 MPH,1,Dry
